game_key,lineup_spot,player_name,pa,ab,h,1b,2b,3b,hr,rbi,r,bb,so,sf,fc,gidp,outs,notes
soviet-sluggers-2021-06-23-2130-refuse-to-win,8,JT,4,4,2,1,0,0,1,5,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,9,Jason,4,4,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,10,Stevie,5,5,1,0,1,0,0,1,0,0,0,0,1,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,11,Duff,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,1,Teo,3,3,3,3,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,2,Duff,2,2,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,3,Layshock,3,3,1,1,0,0,0,0,0,0,0,0,1,0,,
soviet-sluggers-2021-06-30-1830-ringers,4,JJ,3,3,1,1,0,0,0,1,0,0,0,0,1,0,,
soviet-sluggers-2021-06-30-1830-ringers,5,JT,3,3,1,0,0,1,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,6,Stevie,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,7,Walsh,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,8,Corey,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,9,Austin,2,1,0,0,0,0,0,1,0,0,0,1,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,10,Harm,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,
soviet-sluggers-2021-06-30-1830-ringers,11,Jason,2,2,0,0,0,0,0,0,0,0,2,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,1,Layshock,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
